Local Authority Name	Electorate	Number of Votes	Yes	No	Rejected Papers 	Estimated population (2013)	Estimated Males (2013)	Estimated Females (2013)	Area (square km)	Population density	Council expenditure per capita (£)	Total Population SAPE 2010	Best-fit Working Age Population	Overall SIMD 2012 Score	Overall SIMD 2012 Rank	Income domain 2012 rate	Number of Income Deprived People 2012	Income domain 2012 rank	Employment domain 2012 rate	Number of Employment Deprived People 2012	Employment domain 2012 rank	Health domain 2012 score	Health domain 2012 rank	Education Skills and Training domain 2012 score	Education Skills and Training domain 2012 rank	Housing domain score	Housing domain rank	Geographic Access domain 2012 score	Geographic Access domain 2012 rank	SIMD Crime 2012 score	SIMD Crime 2012 rank	Working age people with no qualifications	People aged 16-19 not in full time education	Proportion of 17-21 year olds entering higher education 	Pupil Performance on SQA at Stage 4	School Pupil Absences 
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	739	581	37.23561183	1095	15	115	2401	20	120	1420	1.499084545	263	1.093506747	726	39.10690122	638	3.437428353	5720	1635	131	104.9	50	0	102	8.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	616	530	12.77741016	4082	6	40	4763	7	40	4453	0.121995091	2872	0.349961211	2337	47.5	398	2.273759414	6006	430	2190	53.64	2.5	0	122	8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	775	575	4.714302907	6003	3	25	5991	3	15	6271	-0.60560363	4858	-0.839999199	5370	14.96402878	3489	10.97150294	4134	428	2206	33.63	7	12.12	185	4.7
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1074	739	3.217629357	6320	2	20	6300	1	15	6453	-0.837591379	5381	-1.226758475	5965	6.357388316	5647	16.81497697	3118	203	4093	41.05	0	16.25	200	4.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	847	674	4.760577768	5993	4	40	5362	4	25	5916	-0.735223361	5161	-0.639316881	4915	15.4589372	3358	5.064792036	5356	232	3799	55.43	8	9.09	193	4.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	957	529	3.810834493	6219	1	10	6437	1	10	6474	-1.193037642	5977	-1.785908335	6403	3.014553015	6259	33.28339328	1389	124	5114	23.38	1	22.3	228	3.4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	786	554	3.354059815	6296	3	25	5904	2	10	6428	-0.789243254	5290	-1.592269625	6294	18.5	2594.5	7.423498789	4857	324	2960	30.41	5	22.35	246	4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1083	874	11.17481299	4453	7	70	4625	7	55	4699	0.257390044	2497	-0.304256265	4017	35.27508091	776	2.769622277	5875	440	2126	61.8	8	6.77	197	6.5
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	800	659	5.790779331	5727	4	30	5606	4	25	5887	-0.883352198	5470	-0.493426987	4526	32.78495887	920	1.597409025	6159	537	1656	32.92	5	7.76	187	7.4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	680	544	11.32246088	4405	7	50	4461	8	45	4063	-0.231778459	3823	-0.288365445	3970	33.45588235	878	6.760407576	5014	448	2075	56.6	21	6.5	218	6.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	683	578	7.124154204	5400	4	30	5496	4	25	5802	-0.856822438	5419	-0.07329789	3366	24.34782609	1656	1.137952031	6255	679	1106	54.96	0	0	137	7.7
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	817	625	2.627376093	6413	3	30	5806	3	15	6281	-1.294474589	6117	-1.230016984	5968	21.05263158	2101.5	0.948901479	6304	240	3699	24.89	6	9.02	240	5
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	707	388	27.77583079	1793	16	115	2227	21	85	1309	0.740029394	1305	-0.061624202	3341	19.12181303	2471	26.15750779	1958	371	2585	90.26	13	6.02	166	5.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1206	833	2.552416656	6428	1	15	6440	1	10	6489	-1.041296394	5754	-1.329489327	6073	7.638190955	5397	12.14184437	3920	275	3361	17.68	4	20.32	194	4.5
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1138	973	28.74312894	1703	11	130	3245	15	150	2207	1.306149475	425	0.336769663	2376	40.9190372	584	3.796313632	5639	3311	19	84.22	18	0	154	7.2
